STCOU,Land_mass
20083,860.29
20085,657.9
20087,556.98
20089,914.51
20091,480.18
20093,871.57
20095,866.75
20097,722.67
20099,653.36
20101,717.48
20103,468.36
20105,719.97
20107,606.35
20109,1073.17
20111,855.21
20113,901.29
20115,953.59
20117,904.41
20119,979.72
20121,590.2
20123,718.65
20125,651.45
20127,702.9
20129,729.99
20131,719.43
20133,578.09
20135,1075.07
20137,881.42
20139,719.29
20141,894.31
20143,721.94
20145,754.6
20147,894.84
20149,862.12
20151,735.79
20153,1069.79
20155,1271.33
20157,720.36
20159,728.33
20161,622.15
20163,895.4
20165,718.45
20167,899.03
20169,721.32
20171,717.7
20173,1009.48
20175,640.55
20177,556.35
20179,896.66
20181,1056.08
20183,896.56
20185,794.77
20187,680.12
20189,727.78
20191,1184.86
20193,1074.97
20195,899.09
20197,799.86
20199,914.12
20201,898.88
20203,718.59
20205,575.04
20207,505.5
20209,155.7
21000,40411.24
21001,412.25
21003,352.06
21005,204.3
21007,273.62
21009,499.95
21011,283.96
21013,361.36
21015,256.98
21017,291.68
21019,161.83
21021,182.71
21023,208.91
21025,495.32
21027,585.55
21029,300.21
21031,431.54
21033,348.2
21035,410.81
21037,159.44
21039,199.03
21041,137.28
21043,412.17
21045,445.75
21047,724.05
21049,255.18
21051,471.09
21053,205.55
21055,370.97
21057,310.87
21059,476.3
21061,308.03
21063,235.22
21065,255.72
21067,285.53
21069,351.49
21071,395.49
21073,212.13
21075,230.56
21077,104.68
21079,233.89
21081,260.75
21083,556.5
21085,510.86
21087,288.8
21089,354.53
21091,198.93
21093,629.89
21095,467.98
21097,309.89
21099,417.93
21101,467.26
21103,291.13
21105,252.95
21107,554.25
21109,346.59
21111,398.6
21113,174.47
21115,263.96
21117,164.97
21119,353.03
21121,387.72
21123,263.74
21125,443.77
21127,420.16
21129,211.23
21131,404.37
21133,339.13
21135,495.73
21137,336.77
21139,342.22
21141,557.13
21143,256.47
21145,268.1
21147,430.67
21149,256.19
21151,443.14
21153,309.46
21155,346.89
21157,340.33
21159,230.83
21161,246.62
21163,324.24
21165,206.04
21167,253.13
21169,290.98
21171,332.13
21173,198.82
21175,383.76
21177,479.47
21179,424.1
21181,196.86
21183,596.75
21185,196.56
21187,354.18
21189,198.1
21191,281.37
21193,342.64
21195,788.89
21197,180.21
21199,677.09
21201,100.11
21203,318.08
21205,286.27
21207,282.84
21209,285.31
21211,385.67
21213,236.21
21215,191.81
21217,277.06
21219,377
21221,481.12
21223,156.24
21225,363.44
21227,547.72
21229,301.54
21231,484.22
21233,335.7
21235,445.17
21237,222.88
21239,192
22000,51843.47
22001,657.65
22003,765.72
22005,302.91
22007,364.59
22009,865.74
22011,1166.06
22013,821.83
22015,867.01
22017,937.01
22019,1094.42
22021,540.77
22023,1931.76
22025,739.5
22027,767.52
22029,748.74
22031,894.55
22033,470.59
22035,442.49
22037,455.72
22039,679.64
22041,635.48
22043,664.6
22045,1030.94
22047,652.88
22049,580.38
22051,642.42
22053,658.62
22055,270.32
22057,1472.3
22059,662.42
22061,472.3
22063,702.89
22065,650.59
22067,805.26
22069,1299.38
22071,350.23
22073,632.76
22075,2428.73
22077,590.74
22079,1362.04
22081,402.1
22083,564.55
22085,1011.59
22087,1793.84
22089,410.18
22091,409.49
22093,257.81
22095,347.86
22097,938.88
22099,816.51
22101,1118.93
22103,1124.13
22105,823.19
22107,641.25
22109,2080.08
22111,905.36
22113,1538.42
22115,1341.61
22117,676.01
22119,615.13
22121,203.64
22123,360.35
22125,426.05
22127,956.98
23000,35387.33
23001,497.25
23003,6829.18
23005,1217.01
23007,1744.46
23009,2351.18
23011,951.24
23013,1142.07
23015,699.97
23017,2175.44
23019,3556.42
23021,4377.71
23023,370.29
23025,4095.73
23027,852.81
23029,3255.14
23031,1271.44
24000,12407.45
24001,429.74
24003,587.91
24005,682.08
24009,345.11
24011,326.07
24013,452.43
24015,417.89
24017,643.27
24019,982.97
24021,667.4
24023,656.08
24025,526.74
24027,253.56
24029,414.32
24031,506.22
24033,499.42
24035,509.82
24037,764.54
24039,610.81
24041,476.81
24043,467.57
24045,399.81
24047,694.78
24510,92.08
25000,10554.79
25001,1305.52
25003,946.34
25005,691.26
25007,491
25009,828.69
25011,724.81
25013,634.17
25015,545.47
25017,847.63
25019,303.28
25021,443.97
25023,1093.48
25025,120.07
25027,1579.11
26000,96810.22
26001,1790.56
26003,5044.37
26005,1833.51
26007,1695.05
26009,601.94
26011,680.75
26013,1069.12
26015,576.93
26017,630.98
26019,859.72
26021,1581.47
26023,519.52
26025,718.49
26027,508.51
26029,1390.87
26031,885.26
26033,2698
26035,575.25
26037,574.6
26039,563.41
26041,1991.75
26043,777.2
26045,579.07
26047,882.33
26049,649.37
26051,516.46
26053,1476.54
26055,601.17
26057,571.64
26059,607.18
26061,1501.63
26063,2137.25
26065,560.98
26067,580.26
26069,1890.72
26071,1211.16
26073,577.78
26075,723.82
26077,580.23
26079,570.79
26081,872.21
26083,6060.49
26085,574.64
26087,663.12
26089,2533.36
26091,761.38
26093,585.46
26095,1911.9
26097,2100.59
26099,569.81
26101,1280.9
26103,3426.9
26105,1241.98
26107,571.14
26109,1338.13
26111,527.92
26113,573.85
26115,680.1
26117,721.02
26119,562.46
26121,1459.29
26123,861.45
26125,908.07
26127,1306.83
26129,574.67
26131,3741.37
26133,573.15
26135,571.6
26137,526
26139,1632.12
26141,2573.22
26143,579.86
26145,815.82
26147,832.55
26149,521.18
26151,1590.64
26153,1883.79
26155,540.78
26157,913.83
26159,1090.28
26161,722.59
26163,672.26
26165,575.88
27000,86942.71
27001,1995.39
27003,446.28
27005,1445.17
27007,3055.7
27009,413.02
27011,527.92
27013,765.93
27015,618.62
27017,875.28
27019,376.23
27021,2414.31
27023,587.85
27025,442.53
27027,1052.78
27029,1029.85
27031,3339.29
27033,648.94
27035,1156.62
27037,586.36
27039,439.64
27041,719.97
27043,721.64
27045,862.19
27047,722.66
27049,780.47
27051,575.21
27053,606.43
27055,568.95
27057,999.44
27059,451.9
27061,2927.91
27063,719.51
27065,533.41
27067,862.01
27069,1103.54
27071,3154.35
27073,778.09
27075,2991.14
27077,1775.08
27079,473.9
27081,548.47
27083,721.49
27085,505.7
27087,583.02
27089,1812.83
27091,729.59
27093,645.11
27095,681.8
27097,1153.37
27099,711.74
27101,719.56
27103,466.98
27105,722.36
27107,876.85
27109,654.53
27111,2225.03
27113,618.36
27115,1434.68
27117,466.17
27119,1997.89
27121,717.33
27123,170.16
27125,432.52
27127,881.28
27129,987.27
27131,516.14
27133,482.86
27135,1678.48
27137,6860.53
27139,368.57
27141,451
27143,600.39
27145,1389.99
27147,432.18
27149,575.27
27151,752.39
27153,979.39
27155,586
27157,549.85
27159,543.02
27161,432.82
27163,423.19
27165,439.93
27167,751.67
27169,641.63
27171,714.42
27173,763.42
28000,48433.59
28001,486.28
28003,401.38
28005,731.7
28007,737.15
28009,408.67
28011,905.82
28013,588
28015,634.59
28017,504.3
28019,419.84
28021,501.44
28023,693.46
28025,416.05
28027,583.18
28029,779.45
28031,414.97
28033,496.82
28035,470.2
28037,566.78
28039,483.65
28041,718.73
28043,449.41
28045,552.56
28047,976.18
28049,877.41
28051,764.24
28053,431.2
28055,441.4
28057,540.46
28059,1043.36
28061,677.49
28063,527.24
28065,409.14
28067,699.79
28069,767.05
28071,679.33
28073,500.52
28075,715.33
28077,435.76
28079,585.43
28081,453.17
28083,606.4
28085,588.22
28087,516.48
28089,742.03
28091,548.61
28093,709.86
28095,772.1
28097,407.9
28099,571.69
28101,579.62
28103,700.09
28105,461.94
28107,705.19
28109,818.98
28111,650.24
28113,410.81
